OPO 4  { pos: [ 25,129] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 22,123] | dir: RIGHT | fi: 0 }
USER   { pos: [ 26, 72] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [ 12,121] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [  3,126] | dir: UP    | fi: 0 }
OPO 7  { pos: [ 42,139] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 25,130] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 42,114] | dir: LEFT  | fi: 0 }
OPO 2  { pos: [ 21,123] | dir: UP    | fi: 0 }
USER   { pos: [ 26, 73] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [ 12,122] | dir: RIGHT | fi: 0 }
OPO 3  { pos: [  3,125] | dir: LEFT  | fi: 0 }
OPO 7  { pos: [ 42,138] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 26,130] | dir: DOWN  | fi: 0 }
OPO 6  { pos: [ 42,113] | dir: LEFT  | fi: 0 }
OPO 2  { pos: [ 21,124] | dir: RIGHT | fi: 0 }
USER   { pos: [ 26, 74] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [ 11,122] | dir: UP    | fi: 0 }
OPO 3  { pos: [  3,124] | dir: LEFT  | fi: 0 }
OPO 7  { pos: [ 42,137] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 26,129] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 42,112] | dir: LEFT  | fi: 0 }
OPO 2  { pos: [ 20,124] | dir: UP    | fi: 0 }
USER   { pos: [ 25, 74] | dir: UP    | fi: 0 }
OPO 1  { pos: [ 10,122] | dir: UP    | fi: 0 }
OPO 7  { pos: [ 42,136] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 26,128] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 41,112] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 19,124] | dir: UP    | fi: 0 }
USER   { pos: [ 25, 75] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [ 10,123] | dir: RIGHT | fi: 0 }
OPO 6  { pos: [ 41,113] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 26,127] | dir: LEFT  | fi: 0 }
OPO 7  { pos: [ 42,135] | dir: LEFT  | fi: 0 }
USER   { pos: [ 25, 76] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 18,124] | dir: UP    | fi: 0 }
OPO 1  { pos: [ 10,124] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 26,126] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 41,114] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 42,134] | dir: LEFT  | fi: 0 }
USER   { pos: [ 25, 77] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 18,125] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [ 10,125] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 26,125] | dir: LEFT  | fi: 0 }
OPO 7  { pos: [ 42,133] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 40,114] | dir: UP    | fi: 0 }
USER   { pos: [ 25, 78] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 18,126] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [ 10,126] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 26,124] | dir: LEFT  | fi: 0 }
OPO 7  { pos: [ 42,132] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 40,115] | dir: RIGHT | fi: 0 }
USER   { pos: [ 25, 79] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 18,127] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [ 10,127] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 26,123] | dir: LEFT  | fi: 0 }
OPO 7  { pos: [ 42,131] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 40,116] | dir: RIGHT | fi: 0 }
USER   { pos: [ 24, 79] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 18,128] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [ 10,128] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 26,122] | dir: LEFT  | fi: 0 }
OPO 7  { pos: [ 42,130] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 41,116] | dir: DOWN  | fi: 0 }
USER   { pos: [ 23, 79] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 17,128] | dir: UP    | fi: 0 }
OPO 1  { pos: [ 10,129] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 26,121] | dir: LEFT  | fi: 0 }
OPO 7  { pos: [ 42,129] | dir: LEFT  | fi: 0 }
OPO 6  { pos: [ 41,115] | dir: LEFT  | fi: 0 }
USER   { pos: [ 23, 80] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 16,128] | dir: UP    | fi: 0 }
OPO 1  { pos: [ 11,129] | dir: DOWN  | fi: 0 }
OPO 4  { pos: [ 27,121] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 42,128] | dir: LEFT  | fi: 0 }
USER   { pos: [ 23, 81] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [ 12,129] | dir: DOWN  | fi: 0 }
OPO 2  { pos: [ 15,128] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 28,121] | dir: DOWN  | fi: 0 }
USER   { pos: [ 23, 82] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 41,128] | dir: UP    | fi: 0 }
OPO 1  { pos: [ 13,129] | dir: DOWN  | fi: 0 }
OPO 2  { pos: [ 14,128] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 29,121] | dir: DOWN  | fi: 0 }
USER   { pos: [ 23, 83] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 41,127] | dir: LEFT  | fi: 0 }
OPO 1  { pos: [ 13,130] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 13,128] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 30,121] | dir: DOWN  | fi: 0 }
USER   { pos: [ 23, 84] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 40,127] | dir: UP    | fi: 0 }
OPO 1  { pos: [ 13,131] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 12,128] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 31,121] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 40,128] | dir: RIGHT | fi: 0 }
USER   { pos: [ 22, 84] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 11,128] | dir: UP    | fi: 0 }
OPO 1  { pos: [ 14,131] | dir: DOWN  | fi: 0 }
OPO 4  { pos: [ 32,121] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 40,129] | dir: RIGHT | fi: 0 }
USER   { pos: [ 21, 84] | dir: UP    | fi: 0 }
OPO 2  { pos: [ 11,127] | dir: LEFT  | fi: 0 }
OPO 1  { pos: [ 15,131] | dir: DOWN  | fi: 0 }
OPO 4  { pos: [ 33,121] | dir: DOWN  | fi: 0 }
USER   { pos: [ 21, 85] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 40,130] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [ 16,131] | dir: DOWN  | fi: 0 }
OPO 2  { pos: [ 12,127] | dir: DOWN  | fi: 0 }
OPO 4  { pos: [ 34,121] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 40,131] | dir: RIGHT | fi: 0 }
USER   { pos: [ 21, 86] | dir: RIGHT | fi: 0 }
OPO 1  { pos: [ 17,131] | dir: DOWN  | fi: 0 }
OPO 2  { pos: [ 13,127] | dir: DOWN  | fi: 0 }
OPO 4  { pos: [ 35,121] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 40,132] | dir: RIGHT | fi: 0 }
USER   { pos: [ 21, 87] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 36,121] | dir: DOWN  | fi: 0 }
OPO 1  { pos: [ 18,131] | dir: DOWN  | fi: 0 }
OPO 2  { pos: [ 14,127] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 40,133] | dir: RIGHT | fi: 0 }
USER   { pos: [ 21, 88] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 37,121] | dir: DOWN  | fi: 0 }
OPO 1  { pos: [ 19,131] | dir: DOWN  | fi: 0 }
OPO 2  { pos: [ 15,127] | dir: DOWN  | fi: 0 }
USER   { pos: [ 21, 89] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 40,134] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 38,121] | dir: DOWN  | fi: 0 }
OPO 2  { pos: [ 16,127] | dir: DOWN  | fi: 0 }
OPO 1  { pos: [ 20,131] | dir: DOWN  | fi: 0 }
USER   { pos: [ 21, 90] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 41,134] | dir: DOWN  | fi: 0 }
OPO 4  { pos: [ 39,121] | dir: DOWN  | fi: 0 }
OPO 2  { pos: [ 17,127] | dir: DOWN  | fi: 0 }
OPO 1  { pos: [ 21,131] | dir: DOWN  | fi: 0 }
USER   { pos: [ 20, 90] | dir: UP    | fi: 0 }
OPO 7  { pos: [ 41,135] | dir: RIGHT | fi: 0 }
OPO 2  { pos: [ 17,126] | dir: LEFT  | fi: 0 }
OPO 4  { pos: [ 40,121] | dir: DOWN  | fi: 0 }
OPO 1  { pos: [ 22,131] | dir: DOWN  | fi: 0 }
USER   { pos: [ 20, 91] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 40,135] | dir: UP    | fi: 0 }
OPO 4  { pos: [ 40,120] | dir: LEFT  | fi: 0 }
OPO 1  { pos: [ 23,131] | dir: DOWN  | fi: 0 }
USER   { pos: [ 20, 92] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 40,136] | dir: RIGHT | fi: 0 }
OPO 4  { pos: [ 40,119] | dir: LEFT  | fi: 0 }
OPO 1  { pos: [ 24,131] | dir: DOWN  | fi: 0 }
USER   { pos: [ 20, 93] | dir: RIGHT | fi: 0 }
